,Sport
0,3x3 Basketball
1,Archery
2,Artistic Gymnastics
3,Athletics
4,Badminton
5,Baseball/Softball
6,Boxing
7,Canoe Slalom
8,Canoe Sprint
9,Cycling BMX Freestyle
10,Cycling BMX Racing
11,Cycling Mountain Bike
12,Cycling Road
13,Cycling Track
14,Diving
15,Equestrian
16,Fencing
17,Golf
18,Judo
19,Rowing
20,Rugby Sevens
21,Sailing
22,Shooting
23,Skateboarding
24,Surfing
25,Swimming
26,Table Tennis
27,Taekwondo
28,Tennis
29,Trampoline Gymnastics
30,Triathlon
31,Weightlifting
32,Wrestling
